id,modulo,pergunta,opcoes,correta,comentario
T139,Módulo II – Dosimetria I,A constante de decaimento  está relacionada com a meia-vida (t1/2) pela seguinte fórmula:  = ______.,"0,693 x t1/2.|t1/2/0,693.|1 / (0,693 x t1/2).|0,693/t1/2.|0.693 / (1 -t1/2)","0,693 x t1/2.",
T140,Módulo II – Dosimetria I,192Ir decai principalmente por _____ e emite gamas com uma energia média de ____ keV.,Emissão _ ; 38|Captura eletrônica; 38|Emissão _ ; 380|Captura eletrônica; 380|Emissão + ; 380,Emissão _ ; 38,
T143,Módulo II – Dosimetria I,Qual das seguintes é uma partícula fundamental (ou elementar)?,Nêutron|Proton|Alfa|Todas as opções acima estão corretas|Nenhuma das opções acima estão corretas,Nêutron,
T144,Módulo II – Dosimetria I,As normas que definem a quantidade mínima necessária de filtração inerente a ser usada em tubos de raios X são destinadas a ______ .,Aumentar o contraste da imagem|Reduzir a dose na pele do paciente|Aumentar a vida útil do tubo de raios-x|Permitir tensão de tubo reduzida|Reduzir a mancha quântica,Aumentar o contraste da imagem,
T145,Módulo II – Dosimetria I,Vácuo insuficiente dentro do tubo de raios X pode levar a _____ .,Contraste de imagem reduzido|Aumento da dose do paciente|Arco Voltaico|Aumento da vida útil do tubo de raios X|A necessidade de aumentar a tensão do tubo|Elétrons; cátodo|Elétrons; ânodo|Raios-x; cátodo|Raios-x; ânodo|Nenhuma das opções acima é verdadeira.|Maior que; aumenta|Maior que; diminui|O mesmo que; mantém|Menor que; aumenta|Menor que; diminui|Contínuas; discretas|Discretas; Contínuas|Contínuas; contínuas|Discretas; discretas|Nenhuma das opções acima|Aumentar a modulação de intensidade|Aumentar a taxa de dose|Reduzir a blindagem da sala|Reduzir a energia do feixe|Rumentar a energia do feixe,Contraste de imagem reduzido,
T150,Módulo II – Dosimetria I,"Comparado a um feixe com perfil plano de 6 MV, um feixe sem filtro achatador (FFF) terá energia média _____ e uma _____ profundidade de máximo.","Maior; maior|Maior; menor|Menor; maior|Menor; menor|Igual; Igual|Um MLC binário|Um scanner heilical de TC|Blindagem de raios-x integrada|Todas as afirmativas acima são verdadeiras|Nenhuma das opções acima é verdadeira|Considerações de segurança, como possibilidades de colisão|A necessidade de precisão na localização do isocentro|As taxas de dose de linac são muito altas para permitir uma velocidade de rotação mais rápida|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.",Maior; maior,
T153,Módulo II – Dosimetria I,Os Jaws do Linac foram abertos no tamanho máximo de campo de 40 cm por 40 cm. O campo de luz mostrou que todos os cantos do campo estavam bloqueados em cerca de 2 cm. Isso foi devido a.,Desalinhamento do alvo do fóton|Fraca coincidência de luz vs radiação|Limitação do tamanho do campo pelo colimador primário|Calibração incorreta das posições do Jaws|Defeito do Jaws,Desalinhamento do alvo do fóton,
T154,Módulo II – Dosimetria I,A entrega do feixe de tratamento é interrompida temporariamente durante _____ .,Varredura CBCT kV|SRS quando o linac superaquece|IMRT usando MLC dinâmico quando as lâminas não atingiram a posição desejada|O Mode-up do próximo campo de tratamento|Todas as opções acima,Varredura CBCT kV,
T155,Módulo II – Dosimetria I,"Dos seguintes, _____ é/não é um produto do decaimento do 60Co.",Raios gama|Ni60|Partículas beta|Anti-neutrino|Partículas alfa,Raios gama,
T156,Módulo II – Dosimetria I,"O coeficiente de atenuação linear dado um HVL de 0,693 cm é:","0,48cm-1|1,00 cm-1|1,44 cm-1|2,08 cm-1|2,71cm-1","0,48cm-1",
T157,Módulo II – Dosimetria I,"A espessura de chumbo necessária para reduzir a exposição de uma fonte pontual de Cs137 em 70% (HVL - 0,65 cm) é _____ .","0,1cm|b. 0,3cm|c. 0,7 cm|1,1cm|1,4 cm","0,1cm",
T158,Módulo II – Dosimetria I,"Em comparação com os feixes MV, os feixes kV demonstram um contraste anatômico ósseo superior devido ao _____ .",Aumento da contribuição do espalhamento Compton|Aumento da contribuição do efeito fotoelétrico|Aumento da contribuição da produção de pares|Melhor resolução espacial dos detectores de kV|Maiores pontos focais em sistemas de imagem MV,Aumento da contribuição do espalhamento Compton,
T159,Módulo II – Dosimetria I,Qual das seguintes curvas representa a produção de pares:,A|B|C|D|E,A,
T160,Módulo II – Dosimetria I,Qual é a relação correta entre o coeficiente de transferência de energia em massa (tr/) e o coeficiente de absorção de energia em massa (en/)?,tr/≥ en/|tr/en/|tr/ ≤ en/|Pode ser qualquer uma das opções acima.|Não pode ser determinado a partir das informações fornecidas.,tr/≥ en/,
T161,Módulo II – Dosimetria I,"Com base na figura abaixo, o material atenuante mais provável é:",Água|Carbono|Chumbo|Acrílico|Hélio,Água,
T162,Módulo II – Dosimetria I,Um fóton de 40 keV sofre uma interação fotoelétrica com um átomo com energias de ligação de elétrons de 20 keV e 50 keV. Qual é a energia cinética possível do fotoelétron?,20 keV ou 50 keV|20 keV ou 10 keV|50 keV|10 keV|20 keV,20 keV ou 50 keV,
T163,Módulo II – Dosimetria I,"Um fóton tem uma interação Compton com um elétron. Tomando a direção inicial do fóton como 0°, qual é a faixa de direções possíveis do elétron espalhado?",0-45°|0-60°|0-90°|10-100°|30-180°,0-45°,
T164,Módulo II – Dosimetria I,___Absorverá a maior dose quando exposto a uma fluência idêntica de raios-X de 15 MV.,Músculo|Osso|Gordura|Cérebro|Pulmão,Músculo,
T165,Módulo II – Dosimetria I,A penumbra geométrica aumenta conforme o tamanho da fonte _____ e conforme a distância fonte-superfície ______ .,diminui; diminui|diminui; aumenta|diminui; continua o mesmo|aumenta; diminui|aumenta; aumenta,diminui; diminui,
T166,Módulo II – Dosimetria I,O curie (Ci) é uma unidade de radioatividade baseada na atividade de 1 grama de _____. 1 Ci = 37 _____.,U-235; Bq|U-235; MBq|Ra-226; Bq|Ra-226; MBq|Ra-226; GBq,U-235; Bq,
T167,Módulo II – Dosimetria I,As interações de Bremsstrahlung resultam do elétron _____.,colisões inelásticas com elétrons atômicos|colisões inelásticas com núcleos atômicos|colisões elásticas com núcleos atômicos|colisões elásticas com elétrons atômicos|captura,colisões inelásticas com elétrons atômicos,
T168,Módulo II – Dosimetria I,Uma unidade de massa atômica (uma) é definida como _____.,a massa de um átomo de aH|1/12 da massa de um H|a massa de um próton|1/12 da massa de um C|a massa de um átomo de C,a massa de um átomo de aH,
T169,Módulo II – Dosimetria I,A taxa de decaimento do Ir-192 é de aproximadamente _____ % por _____.,1; dia|1; mês|1; ano|10; dia|10; mês,1; dia,
T170,Módulo II – Dosimetria I,Por que não existem isótopos naturais com número atômico maior que 92?,"Eles não podem ser produzidos por qualquer meio.|Eles exigiriam muitos elétrons orbitais para serem estáveis.|Eles seriam quimicamente instáveis.|Eles existem, mas suas meias-vidas são muito curtas para existirem naturalmente.|A força atrativa de Coulomb entre prótons é muito forte.",Eles não podem ser produzidos por qualquer meio.,
T171,Módulo II – Dosimetria I,"No seguinte, P é o isótopo pai e D é a filha: P decai para  D isso é um exemplo de _____.",decaimento α|decaimento β+|decaimento β−|transição isomérica|fissão,decaimento α,
T172,Módulo II – Dosimetria I,"Um feixe monoenergético de fótons de 40 keV interage com uma folha de metal e produz fotoelétrons de 20 keV e 30 keV. Antes da interação, quais são as energias de ligação desses elétrons?",20 keV e 10 keV|30 keV e 10 keV|30 keV e 20 keV|60 keV e 30 keV|70 keV e 60 keV,20 keV e 10 keV,
T173,Módulo II – Dosimetria I,"Um radiofármaco tem meia-vida física (Tp) e meia-vida biológica (Tb). Qual das seguintes afirmações é verdadeira sobre a relação entre a meia-vida efetiva (Teff), Tp e Tb?",Teff = Tp – Tb|Tp > Teff e Tb > Teff|Teff > Tp  > Tb|Teff  > Tp  e Teff > Tb|Teff  = Tp + Tb,Teff = Tp – Tb,
T174,Módulo II – Dosimetria I,Complete a equação de decaimento:  Sr →  Y + ______,β+ anti-neutrino|β + nêutron|β + neutrino|anti-neutrino|+ nêutron,β+ anti-neutrino,
T175,Módulo II – Dosimetria I,"Um tratamento de raios-x superficial usando raios-x de 100 kV é prescrito para a superfície da pele. É utilizado um cone circular de 4 cm com saída calibrada. Uma máscara de chumbo é fabricada para expor apenas a área de tratamento desejada, que é menor que o cone. Que informações adicionais são necessárias para calcular o tempo de ativação do feixe?",o coeficiente de atenuação linear para chumbo|o coeficiente de atenuação de massa para chumbo|a temperatura e a pressão ambiente no momento do tratamento|os fatores de retroespalhamento para o cone e recorte de chumbo|O percentual de dose profunda a 10 mm,o coeficiente de atenuação linear para chumbo,
T176,Módulo II – Dosimetria I,"Um feixe de raios X de quilovoltagem de amplo espectro tem uma intensidade de I0. Uma folha de Al de 2 mm é colocada no feixe e a intensidade é reduzida a metade de I0. Uma folha adicional de Al é adicionada ao feixe, reduzindo a intensidade para um quarto de I0. Qual é a espessura desta segunda folha (em mm)?","0,6931|1,0|1,44|2|>2","0,6931",
T177,Módulo II – Dosimetria I,O uso do pequeno ponto focal em um tubo de raios X tem as seguintes vantagens:,Melhor resolução espacial|Vida útil do tubo mais longa|Redução da dose do paciente|Redução de artefatos de movimento|Todas as afirmativas acima são verdadeiras.,Melhor resolução espacial,
T178,Módulo II – Dosimetria I,O controle automático de brilho no modo de fluoroscopia de um sistema de imagem kV montado no gantry pode modificar os seguintes parâmetros:,kV e mAs|Tamanho do ponto focal e kV|Tamanho do ponto focal e mAs|Tamanho do ponto focal e distância do gerador de imagens|Distância fonte-imagem e mAs,kV e mAs,
T179,Módulo II – Dosimetria I,Os elétrons são produzidos no canhão de elétrons de um linac através do processo físico conhecido como _____.,Emissão termiônica|Efeito Compton|Emissão fotoelétrica|Efeito Hall|Aumento de massa relativista,Emissão termiônica,
T180,Módulo II – Dosimetria I,A principal vantagem dos feixes de fótons sem filtro achatador (FFF) é _____.,Menor dose na pele|Menor tempo de tratamento|Dose de nêutrons mais baixa|Dose de PTV mais uniforme|Um campo de tratamento maior pode ser usado,Menor dose na pele,
T181,Módulo II – Dosimetria I,"Por que os linacs que fornecem >10 MV exigem ímãs de flexão, mas os linacs de baixa energia (por exemplo, apenas 6 MV) não?","O tubo de aceleração para linacs >10 MV é muito longo.|Linacs ≥10 MV geralmente também têm terapia de feixe de elétrons, e os tratamentos de elétrons requerem um ímã de flexão.|Os ímãs de flexão proporcionam um controle de taxa de dose mais estável para raios X de alta energia.|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.",O tubo de aceleração para linacs >10 MV é muito longo.,
T182,Módulo II – Dosimetria I,"À medida que o linac é trocado de 10 MV para 15 MV de entrega de fótons, o número de nêutrons produzidos _____ e a energia média de nêutrons _____.",Aumenta; aumenta significativamente|Aumenta; diminui significativamente|Aumenta; aumenta ligeiramente|Diminui; aumenta ligeiramente|Diminui; diminui ligeiramente,Aumenta; aumenta significativamente,
T183,Módulo II – Dosimetria I,"Em uma interação Compton, o fóton espalhado será emitido com um ângulo, φ, em relação à direção do fóton incidente. O ângulo espalhado φ pode variar de _____ graus.",0 a 45|0 a 90|0 a 180|45 a 90|90 a 180,0 a 45,
T184,Módulo II – Dosimetria I,"A taxa de dose aumenta por um fator de 2 depois que um atenuador de feixe é removido. Se o atenuador tiver um coeficiente de atenuação linear de 0,25 cm–1, sua espessura será:","1,7 cm|2,8 cm|4,2 cm|5,5 cm|8,0 cm","1,7 cm",
T185,Módulo II – Dosimetria I,"Em uma interação Compton, a direção do fóton que entra define 0 graus. À medida que o ângulo do elétron espalhado aumenta, sua energia _____. À medida que o ângulo do fóton espalhado aumenta, sua energia _____.","aumenta; diminui|aumenta; continua o mesmo|diminui; aumenta|diminui; diminui|diminui, permanece o mesmo",aumenta; diminui,
T186,Módulo II – Dosimetria I,"Dado um material com coeficiente de atenuação de massa de 0,0329 cm2/g e densidade de 1,2 g/cm3, que espessura do material é necessária para criar um bloco de transmissão parcial que forneça 85% da dose de campo aberto?",1 cm|2 cm|4 cm|8 cm|10 cm,1 cm,
T187,Módulo II – Dosimetria I,Qual das seguintes é uma partícula diretamente ionizante?,Nêutron|Elétron|Fóton|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira,Nêutron,
T188,Módulo II – Dosimetria I,Os nêutrons são produzidos em feixes de raios X de alta energia por _____.,Espalhamento coerente|Efeito fotoelétrico|Efeito Compton|Produção de pares|Fotodesintegração,Espalhamento coerente,
T189,Módulo II – Dosimetria I,"Dados dois filtros, um de alumínio (Al) e outro de cobre (Cu), cada um com 1 HVL de espessura para um feixe de 125 kVp, qual das seguintes alternativas é verdadeira?",O filtro Cu atenua mais fótons.|O filtro de Cu é mais espesso.|A qualidade do feixe atenuado de 125 kVp será a mesma para ambos os filtros.|Ambos os filtros atenuaram a mesma intensidade de fótons.|Nenhuma das opções acima é verdadeira.,O filtro Cu atenua mais fótons.,
T190,Módulo II – Dosimetria I,"Um fóton incidente tem uma energia de 5 MeV e sofre uma interação de produção de pares, produzindo um par pósitron-elétron. A energia cinética combinada deste par será _____ MeV.","0|0,511|1.022|3.978|4.489",0,
T191,Módulo II – Dosimetria I,As dimensões da dose (Gy) são _____.,kg|kg m/s|kg m2/s2|J/kg|J kg,kg,
T192,Módulo II – Dosimetria I,O número de partículas incidentes sobre uma esfera de área de seção transversal ΔA é a definição de _____.,KERMA|fluência de energia|taxa de fluência de energia|fluência|taxa de fluência,KERMA,
T193,Módulo II – Dosimetria I,"Um feixe de 137Cs calibrado tem uma taxa de exposição de 2000 R/h a 100 cm da fonte. Dado que 137Cs tem uma atividade específica de 88 Ci/g e uma constante de taxa de exposição de 3,43 R cm2 / (mCi h), qual é a massa de 137Cs na fonte?","0,33 g|0,66 g|33 g|66 g|330 g","0,33 g",
T194,Módulo II – Dosimetria I,O joule (J) é a unidade SI para _____ e 1 Gy = _____.,dose; J/kg|dose; (Jkg)2|dose; Jkg|energia; J/kg|energia; (Jkg)2,dose; J/kg,
T195,Módulo II – Dosimetria I,A taxa de decaimento do 60Co é de aproximadamente _____% por _____.,1; dia|1; mês|1; ano|10; dia|10; mês,1; dia,
T196,Módulo II – Dosimetria I,"A seguir, é o isótopo pai e  é o filho. Exemplo de _____.",decaimento α|decaimento β+|decaimento β-|transição isomérica|fissão,decaimento α,
T198,Módulo II – Dosimetria I,"Em uma reação nuclear, a massa total das partículas finais é 0,0015 u.m.a MENOS que a das partículas iniciais. Esta reação resulta em _____MeV de energia _____.","0,75; liberado|0,75; absorvido|1,40; liberado|1,40; absorvido|0; liberado","0,75; liberado",
T199,Módulo II – Dosimetria I,"Se h é a constante de Planck e c é a velocidade da luz, a relação entre energia (E) e comprimento de onda (λ) é _____.",E = h λ / c|E = h c / λ|E = λ c / h|E = λ/hc|E = c/h λ,E = h λ / c,
T200,Módulo II – Dosimetria I,"Para isótopos estáveis ​​com massa atômica de 20 ou menos, a razão de nêutrons para prótons é quase _____.",1:1|1:2|1:3|2:1|3:1,1:1,
T201,Módulo II – Dosimetria I,As energias de ligação dos elétrons no tungstênio são 70 keV na camada K e 11 keV na camada L. _____ é a energia mínima necessária para os elétrons incidentes excitarem uma emissão Kα de um alvo de tungstênio?,81 keV|70 keV|59 keV|11 keV|0 keV,81 keV,
T202,Módulo II – Dosimetria I,A saída de um tubo de raios X _____ com o aumento da_____do tubo.,aumenta quadraticamente: corrente|aumenta linearmente: corrente|aumenta linearmente: tensão|é independente da tensão do tubo|é independente da corrente do tubo,aumenta quadraticamente: corrente,
T203,Módulo II – Dosimetria I,A produção de raios X característico compete com a produção de _____.,bremsstrahlung|Elétron Auger|fotoelétron|Raio-x espalhado por Compton|par elétron/pósitron,bremsstrahlung,
T204,Módulo II – Dosimetria I,A filtração inerente em um tubo de raios X diagnóstico vem de _____ e geralmente é especificada em termos de _____.,chapas metálicas colocadas no feixe de raios X; equivalente a mm Cu|chapas metálicas colocadas no feixe de raios X; mm Al equivalente|chapas metálicas colocadas no feixe de raios X; mm Zn equivalente|componentes no próprio tubo de raios X; equivalente a mm Cu|componentes no próprio tubo de raios X; mm Al equivalente,chapas metálicas colocadas no feixe de raios X; equivalente a mm Cu,
T205,Módulo II – Dosimetria I,O ânodo de um tubo de raios X deve ter _____.,baixo número atômico|alto ponto de fusão|um filamento aquecido|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.,baixo número atômico,
T207,Módulo II – Dosimetria I,As vantagens de um ímã de flexão de 270o em um acelerador linear incluem _____.,menor tamanho do ponto de elétron no alvo de raios-X|maior energia do feixe de elétrons|energia média de raios-x mais alta|menos custo e complexidade na construção do linac|Todas as afirmativas acima são verdadeiras.,menor tamanho do ponto de elétron no alvo de raios-X,
T208,Módulo II – Dosimetria I,Os feixes de fótons sem filtro achatador (FFF) produzem _____ em comparação com os feixes achatados da mesma energia.,taxas de dose mais altas|energias médias mais baixas do feixe|intensidades de fótons mais altas no eixo central em comparação com a periferia do feixe|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.,taxas de dose mais altas,
T209,Módulo II – Dosimetria I,Qual das seguintes afirmações sobre unidades de tratamento guiadas por RM é FALSA?,A fonte de radiação pode ser uma fonte de 60Co ou um acelerador linear.|Pacientes com implantes metálicos podem ser tratados em uma unidade guiada por RM.|Há uma capacidade reduzida de usar coices de mesa do que está disponível em um linac convencional.|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.,A fonte de radiação pode ser uma fonte de 60Co ou um acelerador linear.,
T210,Módulo II – Dosimetria I,A eficiência de produção de Bremsstrahlung aumenta com _____ número atômico alvo e _____ energia eletrônica incidente.,"aumentando, aumentando|aumentando, diminuindo|crescente, é independente de|diminuindo, aumentando|diminuindo, diminuindo","aumentando, aumentando",
T211,Módulo II – Dosimetria I,Qual das seguintes afirmações sobre a produção de fótons kV e MV é FALSA?,A produção de fluência de fótons MV é mais direcionada para a frente.|A maioria dos feixes MV utilizam alvos de transmissão.|Os feixes kV e MV experimentam o efeito de calcanhar.|Os raios X kV e MV podem ser criados acelerando elétrons através de um potencial elétrico e atingindo um alvo.|As fontes kV utilizam um ânodo rotativo.,A produção de fluência de fótons MV é mais direcionada para a frente.,
T212,Módulo II – Dosimetria I,"Quando um feixe de fótons polienergéticos atravessam um material homogêneo, a primeira camada semi-redutora é _____ a segunda camada semi-redutora.","sempre menor que|menor para materiais de alta densidade, mas maior para materiais de baixa densidade do que|sempre igual a|maior para materiais de alta densidade, mas menor para materiais de baixa densidade do que|sempre maior que",sempre menor que,
T213,Módulo II – Dosimetria I,Qual é o número de Hounsfield de um material com um coeficiente de atenuação que é o dobro da água?,250|500|1000|1500|2000,250,
T214,Módulo II – Dosimetria I,É mais provável que um feixe de elétrons interaja com o _____ de um átomo.,elétrons da camada interna|elétrons da camada externa|núcleo|próton|nêutron,elétrons da camada interna,
T215,Módulo II – Dosimetria I,Marcadores fiduciais de ouro são facilmente visualizados em tomografias devido a _____.,espalhamento coerente|efeito fotoelétrico|Espalhamento Compton|produção de pares|desintegração fotonuclear,espalhamento coerente,
T216,Módulo II – Dosimetria I,"Definindo a direção de deslocamento do fóton incidente como 0 graus, qual dos seguintes ângulos de deflexão NÃO é possível para o fóton espalhado Compton?",0 graus|90 graus|135 graus|180 graus|Todos os ângulos são permitidos.,0 graus,
T217,Módulo II – Dosimetria I,A produção de pares é um processo pelo qual um fóton interage com _____:,um elétron orbital fortemente ligado|um elétron essencialmente livre|o campo nuclear de Coulomb|os nêutrons no núcleo|Nenhuma das opções acima é verdadeira.,um elétron orbital fortemente ligado,
T218,Módulo II – Dosimetria I,"Para campos de fótons, a penumbra geométrica diminui se _____ distância fonte-colimação e ______com a distância fonte-superfície.",aumenta; aumenta|aumenta; diminui|diminui; aumenta|diminui; diminui,aumenta; aumenta,
T234,Módulo II – Dosimetria I,"Sob as condições de equilíbrio de partículas carregadas, a dose absorvida é ____ ao KERMA _____.","Menor que; colisão|Igual a; colisão|Igual a; radiativo|Maior, que; colisão|Maior, que; total",Menor que; colisão,
T235,Módulo II – Dosimetria I,Qual das seguintes opções requer consideração especial ao usar o AAPM TG-51 para calibração de feixes sem filtro aplanador (FFF)?,Recombinação de íons na câmara de ionização do usuário.|Volume de coleta da câmara de ionização do usuário.|Os efeitos da contaminação eletrônica na determinação da qualidade do feixe.|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.,Recombinação de íons na câmara de ionização do usuário.,
T236,Módulo II – Dosimetria I,A correção de temperatura-pressão (TPC) refere-se à mudança no(a) ______ resultante da temperatura e variações de pressão.,Rendimento do Linac|Taxa de dose HDR|Taxa de dose de Teleterapia com Co60|Fator de calibração de TLD|Rendimento da câmara de íonização,Rendimento do Linac,
T237,Módulo II – Dosimetria I,"A(s) vantagem(s) de se  usar uma câmara de ionização cilíndrica de maior volume (0,6 cc versus 0,1 cc) é/são _____ .",Menos ruído de medição|Maior penumbra medida|Precisão aprimorada da medição do fator de saída de campo SRS|Todas as afirmativas acima são verdadeiras.|Nenhuma das opções acima é verdadeira.,Menos ruído de medição,
T238,Módulo II – Dosimetria I,"O ponto de medição efetivo para medições de dose de profundidade de fóton com uma câmara de ionização cilíndrica é _______ a partir do centro da câmara por 0,6 multiplicado pelo(a) ______ cavidade.",ligeiramente abaixo; raio|ligeiramente abaixo; comprimento|ligeiramente acima; raio|ligeiramente acima; comprimento|Nenhuma das opções acima é verdadeira.,ligeiramente abaixo; raio,
T239,Módulo II – Dosimetria I,"De acordo com o protocolo AAPM TG-51, câmaras planas paralelas devem ser usadas para feixes de elétrons com energias incidentes de ______ MeV ou menos.",4|6|10|12|15,4,
T240,Módulo II – Dosimetria I,O uso de bólus para build-up sobre dosímetros luminescentes estimulados opticamente NÃO é apropriado ao avaliar _______.,Uniformidade da dose de TBI|Uniformidade da dose de TSET|Dose de marcapasso|Dose fetal|Verificação de dose IMRT in vivo,Uniformidade da dose de TBI,
T241,Módulo II – Dosimetria I,"Das seguintes qualidades, _____ é a MAIS importante na confecção de um fantoma de água para uso em um feixe de fótons MV.",Mesmo calor específico|Mesmo ponto de fusão|Mesmo módulo de elasticidade|Mesma densidade eletrônica|Mesmo número atômico efetivo,Mesmo calor específico,
T245,Módulo II – Dosimetria I,Qual é a finalidade do eletrômetro quando usado com uma câmara de ionização?,Mede a carga produzida na câmara de ionização.|Aplica o fator de correção de temperatura.|Aplica o fator de correção de pressão.|Fornece fator de calibração da câmara de ionização.|Nenhuma das opções acima é verdadeira.,Mede a carga produzida na câmara de ionização.,
